2021-11-07 13:40:32.530978	Light intensity:2497	Temperature:21	Humidity:45	PPM:82136.14	Corrected PPM:7010.498
2021-11-07 13:41:33.823176	Light intensity:2642	Temperature:21	Humidity:46	PPM:82136.14	Corrected PPM:7010.498
2021-11-07 13:42:35.132961	Light intensity:2511	Temperature:21	Humidity:46	PPM:82136.14	Corrected PPM:7010.498
2021-11-07 13:43:36.326812	Light intensity:2677	Temperature:21	Humidity:46	PPM:185.0083	Corrected PPM:688.125
2021-11-07 13:44:37.837232	Light intensity:2680	Temperature:21	Humidity:46	PPM:185.0083	Corrected PPM:688.125
2021-11-07 13:45:39.437351	Light intensity:2635	Temperature:21	Humidity:46	PPM:6758.213	Corrected PPM:32.91416
2021-11-07 13:46:40.727527	Light intensity:2664	Temperature:21	Humidity:46	PPM:384275.8	Corrected PPM:162802.7
2021-11-07 13:47:41.923594	Light intensity:2681	Temperature:21	Humidity:46	PPM:2.322937e+07	Corrected PPM:5968194.0
2021-11-07 13:48:43.223045	Light intensity:2671	Temperature:21	Humidity:46	PPM:2.363585e+07	Corrected PPM:5968194.0
2021-11-07 13:49:44.627773	Light intensity:2501	Temperature:21	Humidity:46	PPM:2.363585e+07	Corrected PPM:5968194.0
2021-11-07 13:50:46.240985	Light intensity:2692	Temperature:21	Humidity:45	PPM:443074.7	Corrected PPM:2.505071e+08
2021-11-07 13:51:47.430665	Light intensity:2563	Temperature:21	Humidity:45	PPM:218094.0	Corrected PPM:47934.62
2021-11-07 13:52:48.726075	Light intensity:2549	Temperature:21	Humidity:45	PPM:1227.925	Corrected PPM:9738.698
2021-11-07 13:53:49.920597	Light intensity:2607	Temperature:21	Humidity:46	PPM:44.68185	Corrected PPM:258.7261
2021-11-07 13:54:51.114997	Light intensity:2508	Temperature:21	Humidity:46	PPM:44.68185	Corrected PPM:258.7261
2021-11-07 13:55:52.828381	Light intensity:2664	Temperature:21	Humidity:46	PPM:14903.03	Corrected PPM:266743.3
2021-11-07 13:56:54.020997	Light intensity:2653	Temperature:21	Humidity:46	PPM:639.5043	Corrected PPM:2651.088
2021-11-07 13:57:55.217247	Light intensity:2688	Temperature:21	Humidity:46	PPM:14.11958	Corrected PPM:126.0433
2021-11-07 13:58:56.424326	Light intensity:2495	Temperature:21	Humidity:46	PPM:14.11958	Corrected PPM:126.0433
2021-11-07 13:59:57.620162	Light intensity:2657	Temperature:21	Humidity:46	PPM:3.549506e+07	Corrected PPM:7364479.0
2021-11-07 14:00:59.216445	Light intensity:2629	Temperature:21	Humidity:46	PPM:3286929.0	Corrected PPM:1098867.0
2021-11-07 14:02:00.410199	Light intensity:2662	Temperature:21	Humidity:46	PPM:227582.0	Corrected PPM:10777.1
2021-11-07 14:03:01.604550	Light intensity:2686	Temperature:21	Humidity:46	PPM:227582.0	Corrected PPM:10777.1
2021-11-07 14:04:02.915636	Light intensity:2687	Temperature:21	Humidity:46	PPM:227582.0	Corrected PPM:10777.1
2021-11-07 14:05:04.095637	Light intensity:2686	Temperature:21	Humidity:46	PPM:227582.0	Corrected PPM:10777.1
2021-11-07 14:06:05.755647	Light intensity:2691	Temperature:21	Humidity:46	PPM:6.807154	Corrected PPM:10777.1
2021-11-07 14:07:06.999559	Light intensity:2673	Temperature:21	Humidity:46	PPM:6.807154	Corrected PPM:10777.1
