2021-11-07 14:11:30.072415	DEVICE C - Living Room motion detected
2021-11-07 14:11:36.693775	DEVICE C - Living Room motion stopped
2021-11-07 14:11:45.242626	DEVICE C - Living Room motion detected
2021-11-07 14:11:46.794003	DEVICE C - Living Room motion stopped
2021-11-07 14:11:51.343715	DEVICE C - Living Room motion detected
2021-11-07 14:11:55.283751	DEVICE C - Living Room motion stopped
2021-11-07 14:11:59.223771	DEVICE C - Living Room motion detected
2021-11-07 14:12:01.773852	DEVICE C - Living Room motion stopped
2021-11-07 14:12:54.179068	DEVICE C - Living Room motion detected
2021-11-07 14:12:59.604763	DEVICE C - Living Room motion stopped
2021-11-07 14:19:21.185027	DEVICE C - Living Room motion detected
2021-11-07 14:19:23.869804	DEVICE C - Living Room motion stopped
2021-11-07 14:19:28.618703	DEVICE C - Living Room motion detected
2021-11-07 14:19:32.386398	DEVICE C - Living Room motion stopped
2021-11-07 14:19:58.030983	DEVICE C - Living Room motion detected
2021-11-07 14:20:00.981059	DEVICE C - Living Room motion stopped
2021-11-07 14:20:04.641043	DEVICE C - Living Room motion detected
2021-11-07 14:20:06.204938	DEVICE C - Living Room motion stopped
2021-11-07 14:20:10.741243	DEVICE C - Living Room motion detected
2021-11-07 14:20:14.205913	DEVICE C - Living Room motion stopped
2021-11-07 14:20:18.156055	DEVICE C - Living Room motion detected
2021-11-07 14:20:23.749688	DEVICE C - Living Room motion stopped
2021-11-07 14:20:45.011950	DEVICE C - Living Room motion detected
2021-11-07 14:20:48.566403	DEVICE C - Living Room motion stopped
2021-11-07 14:45:17.544195	DEVICE C - Living Room motion detected
2021-11-07 14:45:19.998431	DEVICE C - Living Room motion stopped
2021-11-07 14:45:27.238036	DEVICE C - Living Room motion detected
2021-11-07 14:45:31.477797	DEVICE C - Living Room motion stopped
2021-11-07 14:45:37.123731	DEVICE C - Living Room motion detected
2021-11-07 14:45:40.178768	DEVICE C - Living Room motion stopped
2021-11-07 14:48:05.525897	DEVICE C - Living Room motion detected
2021-11-07 14:48:12.780339	DEVICE C - Living Room motion stopped
2021-11-07 14:48:28.732064	DEVICE C - Living Room motion detected
