timestamp,motion
2021-11-07 12:54:30.655999,1
2021-11-07 12:54:34.317486,0
2021-11-07 12:59:12.374831,1
2021-11-07 12:59:14.034027,0
2021-11-07 12:59:23.979276,1
2021-11-07 12:59:25.353992,0
2021-11-07 13:09:12.642430,1
2021-11-07 13:09:15.288345,0
2021-11-07 13:09:20.338545,1
2021-11-07 13:09:22.588352,0
2021-11-07 13:09:27.449969,1
2021-11-07 13:09:29.408971,0
2021-11-07 13:26:30.444021,1
2021-11-07 13:26:31.903474,0
2021-11-07 13:28:52.366247,1
2021-11-07 13:28:55.125799,0
2021-11-07 13:29:01.079735,1
2021-11-07 13:29:02.345942,0
2021-11-07 13:29:06.886085,1
2021-11-07 13:29:08.046134,0
2021-11-07 13:29:13.086869,1
2021-11-07 13:29:17.966104,0
2021-11-07 13:29:24.411245,1
2021-11-07 13:29:27.271144,0
2021-11-07 13:29:32.106594,1
2021-11-07 13:29:35.657391,0
2021-11-07 13:29:40.926568,1
2021-11-07 13:29:43.266562,0
2021-11-07 13:29:47.726500,1
2021-11-07 13:29:48.986787,0
2021-11-07 13:46:52.993120,1
2021-11-07 13:46:55.273157,0
2021-11-07 13:54:12.089620,1
2021-11-07 13:54:13.218174,0
2021-11-07 13:54:25.773335,1
2021-11-07 13:54:27.032479,0
2021-11-07 13:54:31.873434,1
2021-11-07 13:54:33.018457,0
2021-11-07 13:55:30.688895,1
2021-11-07 13:55:33.249477,0
2021-11-07 13:55:37.789407,1
2021-11-07 13:55:39.848285,0
2021-11-07 13:56:12.591093,1
2021-11-07 13:56:13.637684,0
2021-11-07 13:56:20.500007,1
2021-11-07 13:56:21.560917,0
2021-11-07 13:58:19.302052,1
2021-11-07 13:58:21.151892,0
2021-11-07 14:01:09.474815,1
2021-11-07 14:01:10.614291,0
2021-11-07 14:01:26.085073,1
2021-11-07 14:01:27.334035,0
2021-11-07 14:03:38.970864,1
2021-11-07 14:03:40.615438,0
2021-11-07 14:08:21.382331,1
2021-11-07 14:08:22.815695,0
2021-11-07 14:09:06.061659,1
2021-11-07 14:09:07.191440,0
2021-11-07 14:11:25.573751,1
2021-11-07 14:11:27.153316,0
2021-11-07 14:20:47.171597,1
2021-11-07 14:20:48.311837,0
2021-11-07 14:20:55.774144,1
2021-11-07 14:20:59.422419,0
2021-11-07 14:21:05.172007,1
2021-11-07 14:21:06.322030,0
2021-11-07 14:23:45.674670,1
2021-11-07 14:23:48.574681,0
2021-11-07 14:24:56.059349,1
2021-11-07 14:24:57.415481,0
2021-11-07 14:27:05.877726,1
2021-11-07 14:27:07.227283,0
2021-11-07 14:30:45.145396,1
2021-11-07 14:30:46.300812,0
2021-11-07 14:32:22.537555,1
2021-11-07 14:32:23.563099,0
2021-11-07 14:32:56.841637,1
2021-11-07 14:32:57.890144,0
2021-11-07 14:36:40.256587,1
2021-11-07 14:36:41.397834,0
2021-11-07 14:38:05.658546,1
2021-11-07 14:38:07.121553,0
2021-11-07 14:38:23.967400,1
2021-11-07 14:38:25.427540,0
2021-11-07 14:39:27.928306,1
2021-11-07 14:39:29.188581,0
2021-11-07 14:41:51.935234,1
2021-11-07 14:41:53.070490,0
2021-11-07 14:49:55.125054,1
2021-11-07 14:49:57.090482,0
2021-11-07 14:50:08.216725,1
2021-11-07 14:50:09.375653,0
2021-11-07 14:50:31.439146,1
2021-11-07 14:50:32.688132,0
2021-11-07 14:52:31.840957,1
2021-11-07 14:52:36.782051,0
2021-11-07 14:52:42.234586,1
2021-11-07 14:52:43.277579,0
2021-11-07 14:52:54.640065,1
2021-11-07 14:52:58.090674,0
2021-11-07 14:53:03.121056,1
2021-11-07 14:53:06.491159,0
2021-11-07 14:53:25.331724,1
2021-11-07 14:53:26.571273,0
2021-11-07 14:54:07.171606,1
2021-11-07 14:54:08.821247,0
2021-11-07 14:54:25.222798,1
2021-11-07 14:54:27.073781,0
2021-11-07 14:54:37.711942,1
2021-11-07 14:54:39.172097,0
2021-11-07 14:55:49.912959,1
2021-11-07 14:55:52.152859,0
2021-11-07 15:00:13.317476,1
2021-11-07 15:00:14.666588,0
2021-11-07 15:01:37.628505,1
2021-11-07 15:01:38.986702,0
2021-11-07 15:08:36.106489,1
2021-11-07 15:08:37.364131,0
2021-11-07 15:10:34.985839,1
2021-11-07 15:10:40.036040,0
2021-11-07 15:10:45.586313,1
2021-11-07 15:10:46.806052,0
2021-11-07 15:10:57.756463,1
2021-11-07 15:10:59.506654,0
2021-11-07 15:29:37.994412,1
2021-11-07 15:29:39.443775,0
2021-11-07 16:04:28.954749,1
2021-11-07 16:04:35.508437,0
2021-11-07 16:04:40.574150,1
2021-11-07 16:04:42.104533,0
2021-11-07 16:05:13.746813,1
2021-11-07 16:05:16.894872,0
2021-11-07 16:05:21.655512,1
2021-11-07 16:05:23.804052,0
2021-11-07 16:05:28.855235,1
2021-11-07 16:05:30.017361,0
2021-11-07 16:05:51.445150,1
2021-11-07 16:05:52.585538,0
2021-11-07 16:06:04.645846,1
2021-11-07 16:06:07.695578,0
2021-11-07 16:06:18.935920,1
2021-11-07 16:06:21.875992,0
2021-11-07 16:06:30.425926,1
2021-11-07 16:06:31.575958,0
2021-11-07 16:06:36.431015,1
2021-11-07 16:06:37.688325,0
2021-11-07 16:06:42.816239,1
2021-11-07 16:06:49.736098,0
2021-11-07 16:12:18.502777,1
2021-11-07 16:12:19.951182,0
2021-11-07 16:12:38.791942,1
2021-11-07 16:12:42.445874,0
2021-11-07 16:12:47.811751,1
2021-11-07 16:12:48.855322,0
2021-11-07 16:12:53.701859,1
2021-11-07 16:12:57.351976,0
2021-11-07 16:13:04.102209,1
2021-11-07 16:13:05.160959,0
2021-11-07 16:13:10.512127,1
2021-11-07 16:13:14.952302,0
2021-11-07 16:24:15.963650,1
2021-11-07 16:24:17.122241,0
2021-11-07 16:29:56.657502,1
2021-11-07 16:29:58.595858,0
2021-11-07 16:30:05.057843,1
2021-11-07 16:30:09.806680,0
2021-11-07 16:30:15.547781,1
2021-11-07 16:30:19.007377,0
2021-11-07 16:48:06.637906,1
2021-11-07 16:48:07.833555,0
2021-11-07 16:49:31.745081,1
2021-11-07 16:49:33.384609,0
2021-11-07 18:08:07.704618,1
2021-11-07 18:08:11.675743,0
2021-11-07 18:08:22.229131,1
2021-11-07 18:08:30.775950,0
2021-11-07 18:08:43.536094,1
2021-11-07 18:08:46.085189,0
2021-11-07 18:08:50.525827,1
2021-11-07 18:08:51.695325,0
2021-11-07 18:08:56.225445,1
2021-11-07 18:08:58.385427,0
2021-11-07 18:09:03.225828,1
2021-11-07 18:09:04.685621,0
2021-11-07 18:09:10.237545,1
2021-11-07 18:09:11.376706,0
2021-11-07 18:09:19.526258,1
2021-11-07 18:09:21.586430,0
2021-11-07 18:14:50.690722,1
2021-11-07 18:14:53.340863,0
2021-11-07 18:17:51.997929,1
2021-11-07 18:17:56.848394,0
2021-11-07 18:18:02.383550,1
2021-11-07 18:18:05.167583,0
2021-11-07 18:18:09.833525,1
2021-11-07 18:18:12.753742,0
2021-11-07 18:18:24.303929,1
2021-11-07 18:18:25.673873,0
2021-11-07 18:18:50.008000,1
2021-11-07 18:18:53.364202,0
2021-11-07 18:18:57.914278,1
2021-11-07 18:18:59.064389,0
2021-11-07 18:20:17.475935,1
2021-11-07 18:20:21.019994,0
2021-11-07 18:20:29.965513,1
2021-11-07 18:20:34.516923,0
2021-11-07 18:20:39.265903,1
2021-11-07 18:20:44.020377,0
2021-11-07 18:21:38.976689,1
2021-11-07 18:21:43.217456,0
2021-11-07 18:21:49.866159,1
2021-11-07 18:21:52.017877,0
2021-11-07 18:21:57.557067,1
2021-11-07 18:21:58.706196,0
2021-11-07 18:22:05.365837,1
2021-11-07 18:22:07.807152,0
2021-11-07 18:22:13.967719,1
2021-11-07 18:22:17.327300,0
2021-11-07 18:22:47.082782,1
2021-11-07 18:22:49.726283,0
2021-11-07 18:23:51.469065,1
2021-11-07 18:23:52.629652,0
2021-11-07 18:25:17.280887,1
2021-11-07 18:25:19.009933,0
2021-11-07 18:25:24.261257,1
2021-11-07 18:25:25.410383,0
2021-11-07 18:25:34.265406,1
2021-11-07 18:25:36.920915,0
2021-11-07 18:25:53.570450,1
2021-11-07 18:25:56.315476,0
2021-11-07 18:26:45.472385,1
2021-11-07 18:26:47.511637,0
2021-11-07 18:26:52.871611,1
2021-11-07 18:26:54.221232,0
2021-11-07 18:27:05.866173,1
2021-11-07 18:27:07.026416,0
2021-11-07 19:11:11.643714,1
2021-11-07 19:11:15.527762,0
2021-11-07 19:12:02.598434,1
2021-11-07 19:12:07.432188,0
2021-11-07 19:39:09.869530,1
2021-11-07 19:39:13.115510,0
2021-11-07 19:39:18.275465,1
2021-11-07 19:39:19.635476,0
2021-11-07 19:39:53.432020,1
2021-11-07 19:39:56.976258,0
