timestamp,motion
2021-11-07 12:54:11.903086,1
2021-11-07 12:54:15.734627,0
2021-11-07 13:55:47.113866,1
2021-11-07 13:55:48.280081,0
2021-11-07 14:51:08.738105,1
2021-11-07 14:51:09.838821,0
2021-11-07 15:01:38.828167,1
2021-11-07 15:01:40.477800,0
2021-11-07 18:09:27.606000,1
2021-11-07 18:09:31.966656,0
2021-11-07 18:10:21.037525,1
2021-11-07 18:10:24.077161,0
2021-11-07 18:14:46.410641,1
2021-11-07 18:14:50.070743,0
2021-11-07 22:25:27.841290,1
2021-11-07 22:25:34.090952,0
2021-11-07 22:25:57.151486,1
2021-11-07 22:26:06.001656,0
2021-11-07 22:26:18.550219,1
2021-11-07 22:26:19.622709,0
2021-11-07 22:26:25.375022,1
2021-11-07 22:26:26.801948,0
2021-11-07 23:39:21.945661,1
2021-11-07 23:39:24.505497,0
2021-11-07 23:39:42.346031,1
2021-11-07 23:40:07.986358,1
2021-11-07 23:40:10.951297,0
2021-11-08 11:46:58.611784,1
2021-11-08 11:46:59.865054,0
2021-11-08 11:53:19.025493,1
2021-11-08 11:53:21.175204,0
2021-11-08 19:49:13.838295,1
2021-11-08 19:49:18.197841,0
2021-11-08 19:49:24.238108,1
2021-11-08 19:49:25.367856,0
2021-11-08 19:49:40.528439,1
2021-11-08 19:49:42.968409,0
2021-11-08 19:49:47.427665,1
2021-11-08 19:49:49.578727,0
2021-11-08 19:49:55.018388,1
2021-11-08 19:49:56.368726,0
2021-11-08 19:50:16.249572,1
2021-11-08 19:50:17.998950,0
2021-11-08 19:50:35.449171,1
2021-11-08 19:50:38.714313,0
2021-11-09 02:42:24.560807,1
2021-11-09 02:42:26.011597,0
2021-11-09 10:58:51.189329,1
2021-11-09 10:58:56.935639,0
2021-11-09 10:59:01.984807,1
2021-11-09 10:59:05.425157,0
